startTime, baseVolume, counterVolume, count, open, high, low, close, vwap, openTime, closeTime
2014-01-04T00:00:00+00:00, 0.05, 1100, 1, 22000, 22000, 22000, 22000, 22000.0, Sat Jan 04 2014 10:21:40 GMT+0000, Sat Jan 04 2014 10:21:40 GMT+0000
2014-01-06T00:00:00+00:00, 0.01, 650, 1, 65000.00000000002, 65000.00000000002, 65000.00000000002, 65000.00000000002, 65000.0, Mon Jan 06 2014 03:35:40 GMT+0000, Mon Jan 06 2014 03:35:40 GMT+0000
2014-01-07T00:00:00+00:00, 0.24799999999999903, 10839, 5, 27000.00000000001, 56999.99999999999, 27000.00000000001, 27000.00000000001, 43705.64516129049, Tue Jan 07 2014 02:17:30 GMT+0000, Tue Jan 07 2014 02:17:30 GMT+0000
2014-01-08T00:00:00+00:00, 0.10988413393350303, 3970, 5, 56999.99999999999, 57000.0000000008, 34000, 34500, 36128.9647366422, Wed Jan 08 2014 01:24:20 GMT+0000, Wed Jan 08 2014 01:24:20 GMT+0000
2014-01-09T00:00:00+00:00, 0.10414777295046371, 4301.150324, 16, 57000.00000000012, 57000.000000000124, 34000, 34000, 41298.53382506582, Thu Jan 09 2014 07:55:00 GMT+0000, Thu Jan 09 2014 07:55:00 GMT+0000
2014-01-10T00:00:00+00:00, 1.13105, 43176.475, 2, 38000, 39500, 38000, 39500, 38173.79868264002, Fri Jan 10 2014 04:02:50 GMT+0000, Fri Jan 10 2014 04:02:50 GMT+0000
2014-01-11T00:00:00+00:00, 0.0069742154705860005, 726.921418, 7, 500000, 500000, 31500.00000000001, 31500.00000000001, 104229.84794000367, Sat Jan 11 2014 00:08:20 GMT+0000, Sat Jan 11 2014 00:08:20 GMT+0000
2014-01-15T00:00:00+00:00, 0.10785247507692308, 3468.746528, 5, 31500.00000000001, 39000.00000000003, 31500.00000000001, 39000, 32161.955722629486, Wed Jan 15 2014 09:19:20 GMT+0000, Wed Jan 15 2014 09:19:20 GMT+0000
2014-01-16T00:00:00+00:00, 1.11647024070878, 43042.33936600001, 26, 39000, 39000.001030037594, 32000, 39000, 38552.16000981361, Thu Jan 16 2014 00:05:40 GMT+0000, Thu Jan 16 2014 00:05:40 GMT+0000
2014-01-17T00:00:00+00:00, 0.0006294795485299103, 24.510834, 2, 39000, 39000, 35000.01650944175, 35000.01650944175, 38938.25312870406, Fri Jan 17 2014 05:25:20 GMT+0000, Fri Jan 17 2014 05:25:20 GMT+0000
2014-01-18T00:00:00+00:00, 0.06768600914132768, 2390.010909, 10, 36000, 40000, 35000.01650944175, 35000.01650944175, 35310.26484379781, Sat Jan 18 2014 09:44:20 GMT+0000, Sat Jan 18 2014 09:44:20 GMT+0000
2014-01-19T00:00:00+00:00, 0.10175583462170439, 3239, 12, 40000.00027453315, 43000.00000000001, 31500.00000000001, 43000.00000000001, 31831.098551169718, Sun Jan 19 2014 11:51:30 GMT+0000, Sun Jan 19 2014 11:51:30 GMT+0000
2014-01-20T00:00:00+00:00, 3.353050588906205, 108105.176727, 20, 40000, 43000.00000000001, 31500.00000000001, 43000.00000000001, 32240.842737259405, Mon Jan 20 2014 12:55:10 GMT+0000, Mon Jan 20 2014 12:55:10 GMT+0000
2014-01-21T00:00:00+00:00, 2.0897153557023325, 87489.814146, 13, 42000, 44850.000000000946, 31600, 44850.00000000095, 41866.85708522994, Tue Jan 21 2014 02:51:50 GMT+0000, Tue Jan 21 2014 02:51:50 GMT+0000
